GeneSymbol,Subcellular_location
RALBP1,Cell membrane
VANGL2,Cell membrane
ZSCAN18,Nucleus
GPSM1,Cytoplasm
ZC3H7B,Nucleus
RPL36,Cytoplasm
TMEM65,Cell membrane
SMN1,Nucleus
HABP4,Nucleus
TOE1,Nucleus
BCOR,Nucleus
H2BC17,Nucleus
CDH8,Cell membrane
LILRB2,Cell membrane
MDH1,Cytoplasm
PANO1,Nucleus
BICC1,Cytoplasm
PSMA4,Cytoplasm
POLR1C,Nucleus
ZNF626,Nucleus
ZNF480,Nucleus
OPN5,Cell membrane
RPAP2,Cytoplasm
KLF15,Nucleus
PARN,Nucleus
RBP2,Cytoplasm
OR5D16,Cell membrane
PPP1R13B,Cytoplasm
HOMER3,Cytoplasm
RALY,Nucleus
LDLRAP1,Cytoplasm
BCLAF1,Cytoplasm
MCM5,Nucleus
ZNF442,Nucleus
TPGS2,Cytoplasm
H4C1,Nucleus
TIPIN,Cytoplasm
IRF2BP1,Nucleus
SPATA33,Cytoplasm
PHAX,Nucleus
LRRC8B,Cell membrane
ANOS1,Cell membrane
OSTF1,Cytoplasm
OR4E2,Cell membrane
LRRC38,Cell membrane
NDC1,Nucleus
HES7,Nucleus
PDCD1,Cell membrane
CLEC4E,Cell membrane
TSN,Cytoplasm
ZNF701,Nucleus
LRP4,Cell membrane
BRDT,Nucleus
PDRG1,Cytoplasm
WIPF2,Cytoplasm
HAX1,Cytoplasm
SCIN,Cytoplasm
CDC7,Nucleus
TAF5L,Nucleus
ZNF185,Cytoplasm
NCR1,Cell membrane
RALGPS2,Cytoplasm
BOLA2,Cytoplasm
VCP,Cytoplasm
PARD6B,Cytoplasm
PPIL2,Nucleus
BOLL,Cytoplasm
ZNF251,Nucleus
GPR132,Cell membrane
TRAF6,Cytoplasm
CRYL1,Cytoplasm
MUCL3,Cell membrane
SMAD1,Cytoplasm
CD300E,Cell membrane
UPF3A,Nucleus
SOX10,Cytoplasm
AFTPH,Cytoplasm
CASK,Nucleus
STK26,Cytoplasm
GPRC5D,Cell membrane
FOXO1,Cytoplasm
OR10A2,Cell membrane
TMEM184A,Cell membrane
RXRB,Nucleus
CFAP126,Cytoplasm
CSPP1,Cytoplasm
PHLPP1,Cell membrane
CHMP2B,Cytoplasm
ECHDC1,Cytoplasm
CENPU,Cytoplasm
ITGB3,Cell membrane
NOL8,Nucleus
CLEC7A,Cytoplasm
TMIGD1,Cell membrane
TNFSF10,Cell membrane
CADM2,Cell membrane
H3C7,Nucleus
SLC39A10,Cell membrane
MYOD1,Nucleus
OGFR,Cytoplasm
ZNF226,Nucleus
OR1N2,Cell membrane
ZNF322,Cytoplasm
DNER,Cell membrane
ADORA2A,Cell membrane
TAL1,Nucleus
CDKN1C,Nucleus
RASL10A,Cell membrane
TRIP4,Nucleus
SMYD1,Cytoplasm
CFAP68,Nucleus
PSMB1,Cytoplasm
UHMK1,Nucleus
CRACD,Cytoplasm
EPPK1,Cytoplasm
PSMG1,Cytoplasm
PUM3,Nucleus
ARFGAP2,Cytoplasm
GPSM2,Cytoplasm
DPF2,Nucleus
OR13C9,Cell membrane
ZNF404,Nucleus
PPP1R12C,Cytoplasm
ATF2,Nucleus
ZNF578,Nucleus
OSBPL10,Cytoplasm
ELP4,Cytoplasm
MEIS1,Nucleus
RPS27,Cytoplasm
RASSF2,Nucleus
PYM1,Cytoplasm
CAD,Cytoplasm
HLA-DRB1,Cell membrane
HSBP1,Nucleus
LGALS14,Nucleus
RAB39B,Cell membrane
GJC3,Cell membrane
ACTR1A,Cytoplasm
MYF6,Nucleus
RPL37A,Cytoplasm
ZNF697,Nucleus
ZNF785,Nucleus
CFAP47,Cytoplasm
TMED1,Cell membrane
LIN9,Nucleus
CHMP7,Cytoplasm
GNA12,Cell membrane
NCAPH2,Nucleus
YBX1,Cytoplasm
RBMX,Nucleus
ZNF416,Nucleus
CDC6,Nucleus
ADCY3,Cell membrane
MOB1B,Cytoplasm
IRF6,Nucleus
OR56B4,Cell membrane
GABPB2,Nucleus
STRADA,Nucleus
USP29,Cytoplasm
F8A1,Cytoplasm
ZNF723,Nucleus
OR10A3,Cell membrane
ZNF169,Nucleus
STYXL2,Cytoplasm
SCARA5,Cell membrane
RPL27A,Cytoplasm
SLC9B2,Cell membrane
NFATC3,Cytoplasm
TCAF1,Cell membrane
BRMS1L,Nucleus
ANO2,Cell membrane
GCA,Cytoplasm
TMEM18,Cytoplasm
TP53BP2,Cytoplasm
SPAG6,Cytoplasm
KBTBD8,Cytoplasm
RNF10,Cytoplasm
LMX1A,Nucleus
ZNF221,Nucleus
CDKL5,Nucleus
ANKHD1,Cytoplasm
SLC26A9,Cell membrane
PJA2,Cytoplasm
CCNE1,Nucleus
FSTL3,Nucleus
OR52I2,Cell membrane
SETD2,Nucleus
EFHC2,Cytoplasm
FOXS1,Nucleus
LYPLAL1,Cytoplasm
DHX36,Nucleus
ZNF418,Nucleus
CEP78,Cytoplasm
HCAR3,Cell membrane
RBL2,Nucleus
WIZ,Nucleus
ERVFC1,Cell membrane
CRABP1,Cytoplasm
SPSB1,Cytoplasm
DUSP15,Cell membrane
ENO3,Cytoplasm
FLOT2,Cell membrane
ADNP,Nucleus
MYOM1,Cytoplasm
LYST,Cytoplasm
NUDT10,Cytoplasm
COPG2,Cytoplasm
CCND1,Nucleus
ZNF37A,Nucleus
MC2R,Cell membrane
IGSF8,Cell membrane
IKZF1,Cytoplasm
PSMC5,Cytoplasm
RPL11,Nucleus
ABCC11,Cell membrane
DUS2,Cytoplasm
GAS2,Cytoplasm
FOXO6,Cytoplasm
RPL26,Cytoplasm
GPN1,Cytoplasm
COMMD4,Cytoplasm
PRKN,Cytoplasm
KDM6B,Nucleus
RAD23A,Nucleus
ZNF208,Nucleus
ZNF16,Nucleus
BRD1,Nucleus
PDE11A,Cytoplasm
EPHB2,Cell membrane
TSTD1,Cytoplasm
TENM3,Cell membrane
NCK2,Cytoplasm
FLI1,Nucleus
OR2B3,Cell membrane
OR51I1,Cell membrane
FPGT,Cytoplasm
MAPKAPK2,Cytoplasm
MLXIPL,Nucleus
SAT2,Cytoplasm
KCNA5,Cell membrane
RASSF3,Cytoplasm
ITGAL,Cell membrane
TDRP,Nucleus
DYNC2H1,Cytoplasm
GMEB1,Nucleus
CEP55,Cytoplasm
SMG1,Nucleus
EIF4G1,Cytoplasm
WDR74,Nucleus
VMAC,Cytoplasm
LSG1,Cytoplasm
UNK,Cytoplasm
STAC,Cytoplasm
ZNF235,Nucleus
CNOT1,Cytoplasm
TSEN54,Nucleus
RUSC1,Cytoplasm
RASD2,Cell membrane
CDC14B,Nucleus
SMC4,Nucleus
PHF11,Nucleus
NCR2,Cell membrane
NFKB1,Nucleus
AKR1C3,Cytoplasm
KCNK4,Cell membrane
CPLANE2,Cytoplasm
DTX4,Cytoplasm
BFSP2,Cell membrane
IQSEC3,Cytoplasm
GAS7,Cytoplasm
LYPLA2,Cytoplasm
MED28,Nucleus
TSNAX,Cytoplasm
LAGE3,Cytoplasm
SLC1A5,Cell membrane
ZNF793,Nucleus
LDLRAD3,Cell membrane
ARHGEF25,Cell membrane
OAS2,Cytoplasm
ZNF98,Nucleus
TASOR,Nucleus
EPC1,Nucleus
SNF8,Cytoplasm
CDYL,Nucleus
GPBP1,Nucleus
ZNF488,Nucleus
GNE,Cytoplasm
RUNX2,Nucleus
SLC7A11,Cell membrane
SBF1,Cytoplasm
ZC3H7A,Nucleus
RAC2,Cytoplasm
PPP2R2D,Cytoplasm
GDPD2,Cell membrane
MLIP,Nucleus
ZNF606,Nucleus
IFIT2,Cytoplasm
RALA,Cell membrane
MAD2L1BP,Nucleus
UPRT,Cytoplasm
KEL,Cell membrane
INAVA,Nucleus
DIS3L2,Cytoplasm
TAF10,Nucleus
AFAP1,Cytoplasm
SNTB1,Cell membrane
UXT,Cytoplasm
MLX,Nucleus
EHF,Nucleus
SLC6A2,Cell membrane
DNAH14,Cytoplasm
ANO10,Cell membrane
BTF3,Cytoplasm
TEAD3,Nucleus
FGFR1,Cell membrane
CCNG1,Nucleus
LMLN,Cytoplasm
HFE,Cell membrane
ARPC5,Cytoplasm
TIPARP,Nucleus
DCP2,Cytoplasm
CDKN2D,Nucleus
PBX1,Nucleus
NTRK1,Cell membrane
ZNF214,Nucleus
RRAGD,Cytoplasm
EPN1,Cytoplasm
KLC2,Cytoplasm
EXOSC4,Cytoplasm
TAOK1,Cytoplasm
ZNF225,Nucleus
NPBWR1,Cell membrane
LGALS3,Cytoplasm
ELAVL1,Cytoplasm
WDR83,Cytoplasm
RAB6C,Nucleus
DNAJC8,Nucleus
TRIM24,Nucleus
GPR149,Cell membrane
ORC2,Nucleus
PARPBP,Cytoplasm
HP1BP3,Nucleus
NBAS,Cytoplasm
SPR,Cytoplasm
CSF1R,Cell membrane
CNOT6,Cytoplasm
SPNS2,Cell membrane
ZFP41,Nucleus
DMBX1,Nucleus
HOXA6,Nucleus
RCOR1,Nucleus
SOCS7,Cytoplasm
OR2G3,Cell membrane
PRDM11,Nucleus
RBM3,Nucleus
IMPA1,Cytoplasm
TNFRSF10A,Cell membrane
FAM120A,Cytoplasm
CAPN3,Cytoplasm
ARHGEF11,Cytoplasm
CAPRIN2,Cell membrane
FOXD4L6,Nucleus
OR2L13,Cell membrane
GEMIN4,Cytoplasm
XRCC4,Cytoplasm
MGA,Nucleus
YTHDF1,Cytoplasm
CTH,Cytoplasm
OR52A5,Cell membrane
DNTTIP2,Nucleus
POU1F1,Nucleus
RBBP5,Nucleus
NTAQ1,Cytoplasm
MAP3K8,Cytoplasm
RING1,Nucleus
LYN,Cell membrane
GJA1,Cell membrane
UBE2Z,Cytoplasm
PTTG2,Cytoplasm
RAB3IP,Cytoplasm
CDX1,Nucleus
OR52E4,Cell membrane
INPP5A,Cell membrane
KIF27,Cytoplasm
DCTN1,Cytoplasm
EIF3M,Cytoplasm
ANKZF1,Cytoplasm
HPD,Cytoplasm
FAM172A,Nucleus
CTNNA3,Cytoplasm
MTMR7,Cytoplasm
TEP1,Nucleus
SLC43A1,Cell membrane
OASL,Cytoplasm
HAAO,Cytoplasm
ZNF611,Nucleus
KIF1A,Cytoplasm
MXD1,Nucleus
DOCK6,Cytoplasm
RBM10,Nucleus
SCMH1,Nucleus
ACTB,Cytoplasm
SLC30A10,Cell membrane
GRK2,Cytoplasm
ZNF780B,Nucleus
GMEB2,Nucleus
PPP2CA,Cytoplasm
ZNF714,Nucleus
GPR176,Cell membrane
OR2G2,Cell membrane
PRDM8,Nucleus
PITX2,Nucleus
EIF3CL,Cytoplasm
AFF4,Nucleus
PCBP2,Nucleus
PRKX,Cytoplasm
PGBD5,Nucleus
IL33,Nucleus
CDH12,Cell membrane
USF3,Nucleus
BAAT,Cytoplasm
ZFP69,Nucleus
HTR2A,Cell membrane
ADSS1,Cytoplasm
TCF12,Nucleus
AGBL5,Cytoplasm
HYKK,Cytoplasm
CACTIN,Nucleus
TLCD2,Cell membrane
GRM3,Cell membrane
IRS4,Cell membrane
KPNA3,Cytoplasm
ATF3,Nucleus
MAGI2,Cytoplasm
MCM4,Nucleus
PPP3R1,Cytoplasm
CDC26,Nucleus
ARHGAP19,Nucleus
ABRAXAS1,Nucleus
RFPL1,Cytoplasm
NIN,Cytoplasm
ZNF558,Nucleus
GPR15,Cell membrane
NFIX,Nucleus
PARP10,Nucleus
LIMK1,Cytoplasm
KCNH1,Cell membrane
SEPTIN14,Cytoplasm
DUSP4,Nucleus
CLIC3,Nucleus
CLIC2,Cytoplasm
CDY2B,Nucleus
DCUN1D4,Nucleus
TMPRSS6,Cell membrane
PALMD,Cytoplasm
EXOSC3,Cytoplasm
WDR47,Cytoplasm
U2AF1,Nucleus
TAF1D,Nucleus
PPP4R4,Cytoplasm
INCENP,Nucleus
TERF1,Nucleus
XIAP,Cytoplasm
OR56A5,Cell membrane
F2RL3,Cell membrane
NR2C2,Nucleus
ZSCAN12,Nucleus
NCBP2,Nucleus
GJB7,Cell membrane
SYCP1,Nucleus
MED27,Nucleus
ANKRD11,Nucleus
GPR78,Cell membrane
KIR2DL4,Cell membrane
ZNF789,Nucleus
CSTA,Cytoplasm
CAND2,Nucleus
EIF4ENIF1,Cytoplasm
USP36,Nucleus
SP2,Nucleus
RAC1,Cell membrane
HCN3,Cell membrane
ABCC1,Cell membrane
OR2B2,Cell membrane
POU3F1,Nucleus
TIGD7,Nucleus
ARPP21,Cytoplasm
ZCCHC7,Nucleus
FOXA3,Nucleus
ATG101,Cytoplasm
CALCOCO1,Cytoplasm
WDPCP,Cell membrane
ZBTB1,Nucleus
ZNF45,Nucleus
OR1S2,Cell membrane
ERBB4,Nucleus
ZNF146,Nucleus
HPGD,Cytoplasm
NPY2R,Cell membrane
ZNF227,Nucleus
NXT2,Nucleus
ITGB2,Cell membrane
PDCD4,Nucleus
MNS1,Nucleus
LHX1,Nucleus
RBM11,Nucleus
KAT14,Nucleus
ATXN1,Cytoplasm
YJU2,Nucleus
ARPC1A,Cytoplasm
SYT15,Cell membrane
CUEDC2,Cytoplasm
PAQR5,Cell membrane
OR8B8,Cell membrane
ALMS1,Cytoplasm
JMJD6,Nucleus
PLEKHA5,Cytoplasm
DDX20,Cytoplasm
PSME3,Nucleus
HOXB9,Nucleus
ZNF277,Nucleus
NCAPG2,Nucleus
MIDEAS,Nucleus
LNX1,Cytoplasm
FRAS1,Cell membrane
TRAF3IP3,Cell membrane
RPL6,Cytoplasm
RXFP4,Cell membrane
RNF34,Cell membrane
MFN1,Cytoplasm
CLIP1,Cytoplasm
CEBPB,Nucleus
RECQL5,Cytoplasm
XKR6,Cell membrane
IQSEC2,Cytoplasm
RGS7,Cytoplasm
GCM1,Nucleus
DVL1,Cell membrane
TCEA2,Nucleus
GCC2,Cytoplasm
SSTR4,Cell membrane
HM13,Cell membrane
TCF4,Nucleus
GOT1,Cytoplasm
UPF2,Cytoplasm
SPICE1,Cytoplasm
MTM1,Cytoplasm
SOX4,Nucleus
CTAG1A,Cytoplasm
TAF3,Nucleus
DNMT3A,Nucleus
PARP11,Nucleus
DVL2,Cell membrane
ZNF44,Nucleus
MICAL3,Cytoplasm
CDK5R2,Cell membrane
ASIC2,Cell membrane
HORMAD1,Nucleus
NUDT14,Cytoplasm
BOD1,Cytoplasm
GGT1,Cell membrane
PDGFRB,Cell membrane
ARID5B,Nucleus
MBD3L1,Nucleus
IL1RL1,Cell membrane
PPM1E,Nucleus
ZNF107,Nucleus
THG1L,Cytoplasm
CHP1,Nucleus
OTUD5,Nucleus
RIOX1,Nucleus
ZNF317,Nucleus
MED19,Nucleus
ZNF177,Nucleus
NF2,Nucleus
MDFIC,Cytoplasm
NIPBL,Nucleus
DDX18,Nucleus
SMC1A,Nucleus
DDX25,Cytoplasm
FOLH1,Cytoplasm
EPHA1,Cell membrane
SLC5A4,Cell membrane
NTSR2,Cell membrane
OR56A3,Cell membrane
SLC7A2,Cell membrane
RGS7BP,Nucleus
POLR2H,Nucleus
FOS,Nucleus
SULT1C2,Cytoplasm
CHIC1,Cell membrane
CTBP1,Cytoplasm
WRAP73,Cytoplasm
OR8K1,Cell membrane
PRX,Cell membrane
LSAMP,Cell membrane
KRT27,Cytoplasm
LIMD1,Cytoplasm
NLRC5,Cytoplasm
OR8S1,Cell membrane
CARMIL2,Cytoplasm
MYO15B,Cytoplasm
OR4A47,Cell membrane
TGM5,Cytoplasm
CASP8,Cytoplasm
SDF4,Cytoplasm
TRRAP,Nucleus
ZNF140,Nucleus
INTS6,Nucleus
TMSB15B,Cytoplasm
FOXD4L1,Nucleus
AKAP8L,Nucleus
FOXO3,Cytoplasm
RIC8A,Cytoplasm
PLEKHM3,Cytoplasm
UBAP1,Cytoplasm
KCNAB1,Cytoplasm
LY6H,Cell membrane
SMU1,Cytoplasm
C16orf92,Cell membrane
PDE4DIP,Cytoplasm
CCNT2,Cytoplasm
ZMYM6,Nucleus
CDK5R1,Nucleus
RINT1,Cytoplasm
DSG4,Cell membrane
ABI3,Cytoplasm
OR6C68,Cell membrane
ADAM10,Cell membrane
ZNF655,Nucleus
TUBB4A,Cytoplasm
OR8D2,Cell membrane
ZNF709,Nucleus
GPR139,Cell membrane
PRMT2,Cytoplasm
MAP4K4,Cytoplasm
FANCF,Nucleus
ZNF337,Nucleus
H3C10,Nucleus
ADRA2B,Cell membrane
BCL2L13,Nucleus
ROBO1,Cell membrane
GJD2,Cell membrane
MYMK,Cell membrane
HSPB6,Cytoplasm
DPYSL4,Cytoplasm
ADD1,Cytoplasm
PFDN2,Nucleus
MAPT,Cytoplasm
CEACAM6,Cell membrane
YWHAE,Nucleus
OSBPL2,Cytoplasm
TMEM106A,Cell membrane
UTP23,Nucleus
ASCL2,Nucleus
UNKL,Cytoplasm
NEMF,Cytoplasm
TLN2,Cytoplasm
EML1,Cytoplasm
TRPA1,Cell membrane
UBXN6,Cytoplasm
CENPK,Nucleus
PIWIL2,Cytoplasm
SMC2,Nucleus
PBX2,Nucleus
PRKCG,Cytoplasm
USP17L8,Nucleus
ARHGAP6,Cytoplasm
KCNA2,Cell membrane
PRC1,Nucleus
MPI,Cytoplasm
ADPRS,Nucleus
ZFP14,Nucleus
PSMB2,Cytoplasm
HOXB4,Nucleus
PLCE1,Cytoplasm
FANCB,Nucleus
SS18,Nucleus
PSMF1,Cytoplasm
CSRP2,Nucleus
ILDR1,Cytoplasm
NEURL2,Cytoplasm
GRIP2,Cytoplasm
HOXC4,Nucleus
NBPF15,Cytoplasm
RPL15,Cytoplasm
TCEAL7,Nucleus
BATF,Nucleus
CHAC2,Cytoplasm
NAT1,Cytoplasm
TAF13,Nucleus
OR10A5,Cell membrane
LIN28B,Nucleus
ADCY5,Cell membrane
KPNA5,Cytoplasm
GCM2,Nucleus
AAMP,Cell membrane
MAP4K5,Cytoplasm
OR2AG1,Cell membrane
HLA-B,Cell membrane
CCDC86,Nucleus
ZNF529,Nucleus
TP53TG5,Cytoplasm
MCF2L,Cytoplasm
ZXDB,Nucleus
ZNF582,Nucleus
CCNB1,Cytoplasm
NME9,Cytoplasm
CAP2,Cell membrane
H4C12,Nucleus
POLN,Nucleus
FRMD4B,Cytoplasm
LRCH3,Cytoplasm
CDY2A,Nucleus
HTRA1,Cell membrane
OR2A7,Cell membrane
CIITA,Nucleus
H4C11,Nucleus
ZNF383,Nucleus
H3C15,Nucleus
CD79A,Cell membrane
DUX4,Nucleus
HEXIM1,Nucleus
IL1B,Cytoplasm
PTPRJ,Cell membrane
ATP1B1,Cell membrane
POTED,Cell membrane
ZMYND11,Nucleus
RBBP8,Nucleus
OPN3,Cell membrane
HLA-DRB4,Cell membrane
TOX2,Nucleus
SFMBT2,Nucleus
DEUP1,Cytoplasm
CBLL2,Cytoplasm
NUTM1,Cytoplasm
SH3GLB2,Cytoplasm
GET4,Cytoplasm
ZSCAN2,Nucleus
RBMXL1,Nucleus
ZNF319,Nucleus
MED12,Nucleus
GHRHR,Cell membrane
ZNF93,Nucleus
GNAI1,Nucleus
HIF1AN,Nucleus
GPR152,Cell membrane
TANK,Cytoplasm
RBMY1J,Nucleus
ATG4A,Cytoplasm
ANAPC13,Nucleus
SOD1,Cytoplasm
MAS1,Cell membrane
IL36RN,Cytoplasm
TUBB1,Cytoplasm
DENND1B,Cytoplasm
CBFA2T3,Nucleus
CDKN2AIP,Nucleus
IGHA2,Cell membrane
OR1J4,Cell membrane
FAM83D,Cytoplasm
CUL4B,Cytoplasm
TCEA1,Nucleus
MYH4,Cytoplasm
SYK,Cell membrane
CLIC6,Cytoplasm
OPRD1,Cell membrane
SPIN2A,Nucleus
LRRC26,Cell membrane
MSN,Cell membrane
ARHGAP35,Cytoplasm
STAG2,Nucleus
UBE2K,Cytoplasm
DBP,Nucleus
MYCBP,Cytoplasm
DSTYK,Cytoplasm
HOXA7,Nucleus
SVIL,Cell membrane
ERVFRD-1,Cell membrane
NAPA,Cell membrane
MEF2B,Nucleus
RPS5,Cytoplasm
MAP3K7,Cytoplasm
SUGP1,Nucleus
OR2Y1,Cell membrane
TAX1BP3,Cytoplasm
GPNMB,Cell membrane
OR4K13,Cell membrane
IRX1,Nucleus
BAP1,Cytoplasm
MAP7D1,Cytoplasm
TCEAL2,Nucleus
PHKB,Cell membrane
BCAS3,Nucleus
UBAP2L,Nucleus
TACR1,Cell membrane
MROH2B,Cytoplasm
OR5M1,Cell membrane
TNKS2,Cytoplasm
MMP2,Cytoplasm
POLR2J3,Nucleus
ADGRE1,Cell membrane
GYPC,Cell membrane
OR10R2,Cell membrane
DNASE1L2,Cytoplasm
LHX4,Nucleus
ZBTB33,Nucleus
HIPK3,Cytoplasm
TFIP11,Cytoplasm
CX3CR1,Cell membrane
IKZF3,Cytoplasm
PIK3CD,Cytoplasm
SULT2A1,Cytoplasm
TRIM56,Cytoplasm
TSPY2,Cytoplasm
ARL2BP,Cytoplasm
DYNC1LI2,Cytoplasm
HBEGF,Cell membrane
CITED1,Nucleus
CBX3,Nucleus
ZNF792,Nucleus
YAP1,Cytoplasm
CLEC4D,Cell membrane
DDX17,Nucleus
OR1Q1,Cell membrane
DNAH9,Cytoplasm
DNAH10,Cytoplasm
AAAS,Nucleus
H4C6,Nucleus
SCN3A,Cell membrane
MAP3K4,Cytoplasm
HES6,Nucleus
DCLRE1C,Nucleus
ZMYND10,Cytoplasm
ZFHX3,Nucleus
ZNF174,Nucleus
TMEM131L,Cytoplasm
CFAP107,Cytoplasm
KEAP1,Cytoplasm
MAD2L2,Nucleus
TBL1XR1,Nucleus
LGR4,Cell membrane
TCF25,Nucleus
KIR2DS5,Cell membrane
FOXL2,Nucleus
METTL3,Nucleus
ACTL6A,Nucleus
TRABD2A,Cell membrane
CSNK1D,Cytoplasm
TDRD5,Cytoplasm
TLE3,Nucleus
WDR3,Nucleus
ZNF24,Nucleus
EML2,Cytoplasm
SIRT7,Nucleus
ELK4,Nucleus
CDIN1,Nucleus
PRUNE2,Cytoplasm
TUBB2B,Cytoplasm
SPAG1,Cytoplasm
ZNF536,Nucleus
TFAP2B,Nucleus
GFRAL,Cell membrane
APPBP2,Nucleus
UBAP2,Nucleus
MYPN,Cytoplasm
IGHG4,Cell membrane
BHMT,Cytoplasm
UBA5,Cytoplasm
PTBP1,Nucleus
G6PD,Cytoplasm
SLC1A6,Cell membrane
ATF6B,Nucleus
SART3,Nucleus
RXFP3,Cell membrane
RPTOR,Cytoplasm
ZNF66,Nucleus
GCC1,Cytoplasm
HIPK1,Nucleus
CASZ1,Nucleus
HNRNPH1,Nucleus
SPIDR,Nucleus
ZNF625,Nucleus
TPR,Nucleus
COMMD6,Nucleus
MUS81,Nucleus
TAAR1,Cell membrane
CCDC96,Cytoplasm
APLNR,Cell membrane
HNRNPC,Nucleus
PRRC2C,Cytoplasm
CEP164,Cytoplasm
MC4R,Cell membrane
ZYX,Cytoplasm
RCC1,Nucleus
TXNL4A,Nucleus
CBFB,Nucleus
PIWIL4,Nucleus
HSPB9,Cytoplasm
ACE,Cell membrane
ZNF74,Nucleus
ZNF764,Nucleus
AGO1,Cytoplasm
CTDSPL,Nucleus
RSL1D1,Nucleus
HTR2C,Cell membrane
SSTR2,Cell membrane
IGHMBP2,Nucleus
ANKRD12,Nucleus
FBXW7,Nucleus
PRRT2,Cell membrane
SHCBP1L,Cytoplasm
OR6C2,Cell membrane
MAST4,Cytoplasm
RAVER1,Nucleus
SPEF1,Cytoplasm
SCAF8,Nucleus
YTHDC1,Nucleus
HIF3A,Nucleus
AGGF1,Cytoplasm
ZNF527,Nucleus
OR2T34,Cell membrane
PSD2,Cell membrane
CMBL,Cytoplasm
DUSP11,Nucleus
KIAA0753,Cytoplasm
CRY1,Cytoplasm
IFT140,Cytoplasm
H2BC10,Nucleus
TEN1,Nucleus
OR52A1,Cell membrane
TRERF1,Nucleus
CNFN,Cytoplasm
ADD2,Cytoplasm
OR4N2,Cell membrane
SPTY2D1,Nucleus
ZC3H8,Nucleus
ERCC5,Nucleus
SCRN1,Cytoplasm
ZNF429,Nucleus
CD2,Cell membrane
DCTN4,Cytoplasm
GPR63,Cell membrane
DCUN1D1,Nucleus
CSDE1,Cytoplasm
CMPK1,Nucleus
SIKE1,Cytoplasm
CPNE7,Cytoplasm
CFAP53,Cytoplasm
CEP128,Cytoplasm
PPP2R1A,Cytoplasm
ZNF276,Nucleus
SCN7A,Cell membrane
SDS,Cytoplasm
ADA,Cell membrane
BUB1B,Cytoplasm
ZMAT1,Nucleus
H2AC19,Nucleus
CCNB1IP1,Nucleus
ZNF100,Nucleus
RPS6KA1,Nucleus
FAM9A,Nucleus
CDK2AP1,Nucleus
USP3,Nucleus
MAPK11,Cytoplasm
PDE6C,Cell membrane
COASY,Cytoplasm
PIERCE2,Cytoplasm
RAC3,Cytoplasm
ZNF664,Nucleus
UNC13A,Cytoplasm
PCDHB11,Cell membrane
BCL9L,Nucleus
ERVK-7,Cell membrane
CGGBP1,Nucleus
EIF3J,Cytoplasm
PAX6,Nucleus
CYLD,Cytoplasm
NME1,Cytoplasm
SEMA6B,Cell membrane
TMF1,Cytoplasm
SMARCA4,Nucleus
HDGFL3,Nucleus
GPX2,Cytoplasm
RPL18A,Cytoplasm
BRAP,Cytoplasm
MYZAP,Cytoplasm
FBH1,Nucleus
SPIN2B,Nucleus
PSMB5,Cytoplasm
ARFGEF2,Cytoplasm
KCNA1,Cell membrane
MCM6,Nucleus
TAF7L,Nucleus
OR51I2,Cell membrane
FKBP5,Cytoplasm
ARPC2,Cytoplasm
MYOF,Cell membrane
AP5S1,Cytoplasm
FAM171A1,Cell membrane
TNFRSF14,Cell membrane
ZRANB3,Nucleus
DERPC,Nucleus
TNFRSF11A,Cell membrane
EIF2AK2,Cytoplasm
SEMA4G,Cell membrane
NRN1,Cell membrane
OR8G1,Cell membrane
TRIM32,Cytoplasm
LDB1,Nucleus
MSX2,Nucleus
CDKN3,Cytoplasm
FOSL2,Nucleus
OR10H4,Cell membrane
PPP4R3A,Cytoplasm
LAMP1,Cell membrane
BCL9,Nucleus
CWC22,Nucleus
PRKAR2A,Cytoplasm
TMPO,Nucleus
OR7A5,Cell membrane
NPAP1,Nucleus
ULK1,Cytoplasm
INPPL1,Cytoplasm
TRIM69,Cytoplasm
SYCE1,Nucleus
TTC7B,Cytoplasm
PTGES2,Cytoplasm
PTPN7,Cytoplasm
MACF1,Cytoplasm
ANKRD45,Cytoplasm
ITK,Cytoplasm
CEP85,Cytoplasm
AKIRIN1,Nucleus
BIRC7,Nucleus
MCMBP,Nucleus
PPP2R5B,Cytoplasm
SLC2A4RG,Cytoplasm
VLDLR,Cell membrane
SIX2,Nucleus
KIF3C,Cytoplasm
HOXB5,Nucleus
FES,Cytoplasm
GAN,Cytoplasm
RUFY3,Cytoplasm
OR6C65,Cell membrane
EPB41L5,Cytoplasm
RAB35,Cell membrane
ZNF555,Nucleus
VASH2,Cytoplasm
SHOC2,Cytoplasm
SREBF2,Nucleus
OR10K2,Cell membrane
TRPC4AP,Cytoplasm
OR1J1,Cell membrane
DPPA4,Nucleus
DIAPH1,Cell membrane
EFHB,Cytoplasm
ICAM4,Cell membrane
TRIT1,Cytoplasm
VAT1,Cytoplasm
POLE4,Nucleus
OR4C45,Cell membrane
MAK,Nucleus
ANO4,Cell membrane
SCN5A,Cell membrane
MOAP1,Cytoplasm
ARPC1B,Cytoplasm
SMAD3,Cytoplasm
PHPT1,Cytoplasm
OR2B11,Cell membrane
CFAP210,Cytoplasm
CLIC4,Cytoplasm
P2RY4,Cell membrane
CDC42SE1,Cytoplasm
GORAB,Cytoplasm
TTC21B,Cytoplasm
ETV6,Nucleus
COBL,Cell membrane
ZBTB9,Nucleus
SLC12A7,Cell membrane
SNRPA,Nucleus
NOSIP,Cytoplasm
PRRX2,Nucleus
